Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image
Moulay Rachid,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5684046,-7.5307781,icons/pharmacy.png
Moulay Rachid,Parapharmacie sans nom,Parapharmacie,Formel,Parapharmacie sans nom,33.5713396,-7.5290841,icons/pharmacy.png
Arrondissement de Sidi Othmane,Café Napoli,Café,Formel,Boulevard du Nil,33.5620155,-7.5628182,icons/cafe.png
Arrondissement d'Aïn Sebaâ,The Coffee Break,Café,Formel,Boulevard Ahmed Mekouar,33.6144205,-7.5353886,icons/cafe.png
N/A,Pharmacie Boukdad صيدلية بوقداد,Parapharmacie,Formel,"Rue Abderrahmane Ibn Khaldoune, Tit Mellil تيط مليل",33.5543657,-7.4827959,icons/pharmacy.png
N/A,Pharmacie Semmat,Parapharmacie,Formel,Pharmacie Semmat,33.5478296,-7.4859166,icons/pharmacy.png
N/A,Cafe El Makhfi,Café,Formel,Boulevard El Marinieene,33.5465565,-7.4828482,icons/cafe.png
N/A,Espace Araha,Restaurant,Formel,Boulevard El Marinieene,33.5455617,-7.4849658,icons/restaurant.png
Arrondissement d'Aïn Sebaâ,Siciliano Cafe,Café,Formel,Siciliano Cafe,33.6129663,-7.5457084,icons/cafe.png
N/A,Pharmacie Tit Mellil صيدلية تيط مليل,Parapharmacie,Formel,"Boulevard Annakhil, Tit Mellil ⵜⵉⵟ ⵎⵍⵉⵍ تيط مليل",33.5522612,-7.4826014,icons/pharmacy.png
Arrondissement d'Aïn-Chock,Pharmacie Errahmane,Parapharmacie,Formel,Route de Taddart,33.5526038,-7.6230601,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Machaa Allah,Parapharmacie,Formel,Rue 14,33.5371525,-7.5703479,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Al Ahram,Parapharmacie,Formel,Avenue Mekdad Lahrizi,33.5367602,-7.5734532,icons/pharmacy.png
Préfecture d'arrondissements de Ben M'sick,Pharmacie Salim,Parapharmacie,Formel,Rue 2,33.5378244,-7.5671151,icons/pharmacy.png
Arrondissement de Sidi Othmane,Parapharmacie sans nom,Parapharmacie,Formel,Rue 66,33.5667045,-7.5678098,icons/pharmacy.png
Arrondissement de Sidi Belyout,Cafe L'Albatros,Café,Formel,Rue Hadj Omar Riffi,33.5851173,-7.6131231,icons/cafe.png
